Name,Kitchens,Delivery cost (PLN),Min order cost (PLN)
Staroświecka Ursynów,"Polska, Dania na lunch",2.0,55.0
Sushi One,"Sushi, Japońska",10.0,50.0
Pekin Duck,"Chińska, Kaczka, Drób",24.0,50.0
Bar Restauracyjny Bao Nam,"Wietnamska, Zupy, Owoce morza",4.0,30.0
Spring Roll,"Tajska, Wietnamska, Dania na lunch",24.0,50.0
Khuk by Little Thai Gallery,"Tajska, Owoce morza",24.0,50.0
Bydło i Powidło,"Kanapki, Burgery, Amerykańska",24.0,50.0
Ou Sushi,"Sushi, Japońska",0.0,49.0
Pizzeria Boscaiola,"Włoska, Pizza, Sałatki",24.0,50.0
Thai Me Up,"Tajska, Owoce morza",24.0,50.0
Mojo Picon,"Hiszpańska/Tapas, Sałatki, Owoce morza",24.0,50.0
Indian Dawat,"Dania na lunch, Sałatki, Indyjska",9.0,50.0
W Oparach Absurdu,"Polska, Pierogi",0.0,50.0
Ramen by masami,"Tajska, Japońska, Wołowina",0.0,80.0
Yume Sushi night,"Sushi, Japońska",5.0,1.0
Pizza po Zmroku,"Włoska, Makarony, Pizza",12.0,30.0
Akan Sushi,"Sushi, Ryby, Owoce morza",0.0,74.0
Pierogi Świata,"Polska, Pierogi, Menu dla dzieci",0.0,74.0
Ramen And More,"Tajska, Japońska, Wołowina",0.0,74.0
Bueno Burger,"Burgery, Amerykańska, Sałatki",0.0,74.0
San Giovanni Noc,"Włoska, Pizza",10.0,39.0
Geisha Sushi Ursynów,"Sushi, Japońska",0.0,50.0
Sensi Sushi Ochota,"Sushi, Japońska, Sałatki",0.0,60.0
Burger Slow Food,"Burgery, Przekąski, Amerykańska",8.0,30.0
Pizza na Wypasie Mokotów,"Włoska, Dania na lunch, Pizza",5.0,1.0
China Bistro,"Chińska, Tajska",0.0,1.0
Maru Sushi Bar,"Sushi, Japońska",0.0,60.0
Hamburger z Karaibów Puławska,"Dania na lunch, Burgery, Amerykańska",15.0,37.0
Nama Sushi Bar & Lounge,"Chińska, Sushi, Japońska",0.0,50.0
SushiRoll Bistro,"Sushi, Japońska, Wegańska",0.0,50.0
My Onigiri,Japońska,9.0,50.0
Mechanizm Kręcenia Pizza Nocą,"Włoska, Pizza, Sałatki",8.0,20.0
Sushi Ronin,"Sushi, Japońska",15.0,40.0
Pizzeria Pieczychlebek,"Włoska, Makarony, Pizza",5.0,30.0
Mango Curry,"Curry, Indyjska",5.0,40.0
Sushi Nugat,"Sushi, Japońska",0.0,50.0
Saffron Spices Restauracja Indyjska i tajska,"Tajska, Indyjska",10.0,35.0
Green & Tasty - Authentic Asian Cuisine,"Tajska, Wietnamska, Owoce morza",0.0,49.0
India Express by Mandala,Indyjska,15.0,30.0
Kadoto Sushi,Sushi,20.0,100.0
Pizza Warszawska,"Włoska, Dania na lunch, Pizza",15.9,59.0
Sushi Party,"Chińska, Sushi, Japońska",15.0,40.0
Game of Pizza,"Włoska, Pizza",15.9,59.0
Sushi Saska Kępa,"Chińska, Sushi, Japońska",5.0,120.0
Bombay Lounge,Indyjska,15.0,50.0
Sphinx,"Turecka, Dania na lunch, Międzynarodowa",4.99,30.0
Subway Galeria Mokotów,"Kanapki, Wrapy, Sałatki",10.0,50.0
Bar Wypas,"Polska, Dania na lunch, Amerykańska",6.0,30.0
Soja Sushi,"Chińska, Sushi, Japońska",0.0,50.0
